City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Hervey Bay,AU,81.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
6,Bauchi,NG,77.5,overcast clouds,10.5,10.0,
8,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
11,Vanimo,PG,78.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
12,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
14,Dingle,PH,75.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
15,Panaba,MX,89.22,overcast clouds,21.2833,-88.2667,Hotel California
20,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
23,Americus,US,75.33,overcast clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
24,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
32,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
34,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
35,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
50,Angoche,MZ,77.92,clear sky,-16.2325,39.9086,Guest House HESADA
79,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
81,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
82,Guane,CU,82.94,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
84,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Daru,PG,82.27,overcast clouds,-9.0763,143.2092,Daru Lodge
87,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
88,Catamarca,AR,83.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
91,Makakilo City,US,81.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
95,Rawson,AR,82.69,dust,-43.3002,-65.1023,Hosteria Sampedro
96,Bull Savanna,JM,81.09,scattered clouds,17.8868,-77.5902,Big Red's
97,Sao Filipe,CV,78.44,scattered clouds,14.8961,-24.4956,Hotel Xaguate
98,Tema,GH,79.21,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
99,Butaritari,KI,81.48,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
100,San Patricio,US,92.12,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
101,Oussouye,SN,84.38,overcast clouds,12.485,-16.5469,Auberge du Routard
110,Itoman,JP,75.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
113,Kahului,US,84.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
114,Harper,LR,77.58,overcast clouds,4.375,-7.7169,Screensaver
115,Chihuahua,MX,85.3,clear sky,28.5,-106.0,
117,San Policarpo,PH,79.74,overcast clouds,12.1791,125.5072,Agapita M. Nicart
128,Mandera,KE,84.38,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
130,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
131,Gao,ML,91.42,broken clouds,16.6362,1.637,
133,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
136,Ambilobe,MG,75.96,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
141,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
143,Salalah,OM,76.08,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
144,Mayor Pablo Lagerenza,PY,82.17,clear sky,-19.9309,-60.7718,
145,Massaguet,TD,86.04,few clouds,12.4755,15.4365,Alwatane
155,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
156,Cururupu,BR,78.04,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
158,Bosaso,SO,79.59,clear sky,11.2842,49.1816,Red Sea Hotel
160,Atar,MR,85.57,broken clouds,20.5169,-13.0499,Oumou Elghoura
163,Mapiripan,CO,80.01,moderate rain,2.8892,-72.1256,Monserrate
167,Buchanan,LR,78.76,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
168,Banyumas,ID,76.48,overcast clouds,-7.5142,109.2942,Hadipriyanto Homestay
171,Bambanglipuro,ID,77.79,overcast clouds,-7.95,110.2833,Puri Brata
172,Kavieng,PG,83.84,broken clouds,-2.5744,150.7967,Nusa Island Retreat
176,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
178,Puerto Escondido,MX,83.34,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
181,Inirida,CO,78.3,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
196,Tonantins,BR,79.86,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
197,Adrar,MR,84.18,few clouds,20.5022,-10.0711,
199,Tamandare,BR,77.7,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
200,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
201,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
203,Ler,SS,77.61,clear sky,8.3018,30.1418,
210,Bonthe,SL,78.22,light rain,7.5264,-12.505,Bonthe Holiday Village
211,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
212,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
218,Taoudenni,ML,87.28,few clouds,22.6783,-3.9836,
220,Tevaitoa,PF,77.68,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
221,Lorengau,PG,81.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
223,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
224,Hilo,US,79.11,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
225,Cayenne,GF,82.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
226,Emerald,AU,77.34,broken clouds,-23.5333,148.1667,The Irish Village
227,Mecca,SA,79.86,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
228,Sur,OM,81.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
229,Surt,LY,76.05,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
230,Sotouboua,TG,77.04,overcast clouds,8.5667,0.9833,Auberge Médina
232,Kokopo,PG,81.39,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
238,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
242,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
244,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
245,Sulangan,PH,82.58,overcast clouds,11.1373,123.7228,Maia's Beach Resort
247,Pilar,BR,78.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
249,Wau,SS,78.37,few clouds,7.7029,27.9953,Universal Gab Hotel
253,Lodwar,KE,86.67,few clouds,3.1191,35.5973,Solmar Gracious Hotel
255,Beinamar,TD,76.96,broken clouds,8.6698,15.3813,
256,Bartica,GY,80.92,light rain,6.4,-58.6167,Sloth Island Nature Resort
257,Vigia Del Fuerte,CO,77.94,overcast clouds,6.5789,-76.8863,"Hotel ""El Parque"""
258,Waddan,LY,80.01,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
265,Goundam,ML,94.53,scattered clouds,16.4145,-3.6708,
266,Howard Springs,AU,82.81,few clouds,-12.497,131.047,buffalo beach hostel
268,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
273,Arraial Do Cabo,BR,75.06,light rain,-22.9661,-42.0278,Pousada Porto Praia
279,Mlimba,TZ,79.48,clear sky,-8.8,35.8167,California Lodge
282,Tarpon Springs,US,84.94,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
283,Poum,NC,76.19,scattered clouds,-20.2333,164.0167,Gîte kajeon
288,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
296,Carauari,BR,83.91,broken clouds,-4.8828,-66.8958,Hotel Fellip
297,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
304,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
306,Qui Nhon,VN,77.67,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
307,Faanui,PF,76.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
309,Majene,ID,78.66,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
315,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
316,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
318,Manggar,ID,78.71,few clouds,-2.8833,108.2667,Guest Hotel
328,Padang,ID,76.37,moderate rain,-0.9492,100.3543,Mercure Padang
332,Sao Raimundo Das Mangabeiras,BR,81.55,broken clouds,-7.0219,-45.4811,Hotel Tropical
338,Wahiawa,US,79.79,broken clouds,21.5028,-158.0236,Aloha Wahiawa
345,Gizo,SB,83.61,few clouds,-8.103,156.8419,Imagination Island
353,Mackay,AU,85.68,broken clouds,-21.15,149.2,International Lodge Motel
354,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
358,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
365,Puerto Carreno,CO,82.81,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
370,Maragogi,BR,77.36,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
374,Ascension,US,82.4,overcast clouds,30.2169,-90.9001,Highland Inn
375,Palauig,PH,79.84,overcast clouds,15.435,119.9045,Alperi Botique Resort
376,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
379,Lagunillas,VE,83.17,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
380,Kirakira,SB,84.45,scattered clouds,-10.4544,161.9205,SanBiz Lodge
386,Gamba,GA,77.07,overcast clouds,-2.65,10.0,
387,Quatre Cocos,MU,75.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
393,Sigli,ID,77.81,overcast clouds,5.3848,95.9609,Losmen Dua Mali
396,Thinadhoo,MV,82.94,overcast clouds,0.5333,72.9333,
399,Tinde,TZ,79.18,broken clouds,-3.8833,33.2,TGHS Hostels
401,Kulhudhuffushi,MV,81.7,broken clouds,6.6221,73.07,Haajy Guest House 1
403,Acarau,BR,80.74,clear sky,-2.8856,-40.12,castelo pizzaria
404,Winter Haven,US,82.27,clear sky,28.0222,-81.7329,Howard Johnson by Wyndham Winter Haven FL
413,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
414,Nanakuli,US,82.11,broken clouds,21.3906,-158.1547,Camp Pālehua
421,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
422,Tual,ID,81.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
427,Tutoia,BR,81.32,few clouds,-2.7619,-42.2744,Pousada Guará's
430,Amahai,ID,78.3,broken clouds,-3.3333,128.9167,HOTEL ISABELA
431,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
434,Samarai,PG,82.42,scattered clouds,-10.6167,150.6667,Nuli Sapi
436,Merritt Island,US,82.49,broken clouds,28.5392,-80.672,
441,Hambantota,LK,79.14,moderate rain,6.1241,81.1185,Bungalow 63
442,Areia Branca,BR,82.6,clear sky,-4.9561,-37.1369,Areia Branca Apart Hotel
443,Diffa,NE,88.02,broken clouds,13.3154,12.6113,ProDAF/Diffa
446,Punta Alta,AR,76.21,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
450,Vaitape,PF,77.05,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
451,Bafoulabe,ML,83.52,overcast clouds,13.8065,-10.8321,
452,Mount Darwin,ZW,80.46,broken clouds,-16.7725,31.5838,
457,Inyonga,TZ,80.78,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
458,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
461,Axim,GH,77.77,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
462,Mormugao,IN,75.88,broken clouds,15.4,73.8,Coconut Creek Resort
468,Kpandu,GH,76.55,overcast clouds,6.9954,0.2931,Emo House
469,Wewak,PG,80.26,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
470,Sebring,US,80.55,moderate rain,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
473,Kudahuvadhoo,MV,82.74,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
475,Fare,PF,75.29,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
478,Labrea,BR,80.89,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
483,Wajir,KE,81.21,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
486,Zinder,NE,87.17,clear sky,13.8072,8.9881,Hotel de Ville
488,Maraa,BR,80.46,overcast clouds,-1.8333,-65.3667,
489,Thongwa,MM,78.96,overcast clouds,16.7619,96.5278,U Poe Sann
491,Carutapera,BR,81.09,clear sky,-1.195,-46.02,Lidera
495,Sao Jose Da Coroa Grande,BR,77.81,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
500,Curuca,BR,77.9,clear sky,-0.7289,-47.8481,Hotel Curuça
501,Santa Fe,AR,77.0,clear sky,-31.6333,-60.7,Conquistador Hotel
503,Moroni,KM,78.4,clear sky,-11.7022,43.2551,Hotel les Arcades
509,La Asuncion,VE,80.47,broken clouds,11.0333,-63.8628,Colinas de Matasiete
512,Valparaiso,CL,83.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
516,Mersing,MY,76.66,broken clouds,2.4312,103.8405,Timotel Hotel
519,Celestun,MX,84.43,broken clouds,20.8667,-90.4,Posada Lilia
523,Kutum,SD,75.43,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
525,Manakara,MG,76.14,broken clouds,-22.1333,48.0167,La Residence Manakara
527,Balsas,BR,83.34,scattered clouds,-7.5325,-46.0356,Novo Hotel
535,Doha,QA,84.09,clear sky,25.2867,51.5333,Movenpick Hotel Doha
541,Mogadishu,SO,79.57,few clouds,2.0371,45.3438,Hotel Juba
542,Kimbe,PG,83.21,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
548,Namatanai,PG,82.94,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
550,Avera,US,76.71,overcast clouds,33.194,-82.5271,
556,Birao,CF,77.52,overcast clouds,10.2849,22.7882,
560,Muisne,EC,77.05,overcast clouds,0.6,-80.0333,Quinta Samay
564,Bowmore,US,79.75,broken clouds,34.9421,-79.3031,
568,Teavaro,PF,76.48,moderate rain,-17.5,-149.7667,SOFITEL KIA ORA MOOREA BEACH RESORT
571,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
572,Cap Malheureux,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
577,Buala,SB,84.06,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
581,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
583,Omboue,GA,77.38,overcast clouds,-1.5746,9.2618,Hotel Olako
590,Satipo,PE,80.91,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
591,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
592,Gigmoto,PH,79.05,very heavy rain,13.7796,124.39,Cj's Travellers Inn
593,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
596,Bandarbeyla,SO,78.21,few clouds,9.4942,50.8122,JABIR HOTEL
601,Charleston,US,77.34,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
610,Ewa Beach,US,83.08,broken clouds,21.3156,-158.0072,Uncle Junior Robert
614,Camacari,BR,80.37,broken clouds,-12.6975,-38.3242,Hotel Cambuci
615,Gouyave,GD,81.3,overcast clouds,12.1646,-61.7296,Rumboat Retreat
616,Weatherford,US,90.45,clear sky,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
618,Vega De Alatorre,MX,81.54,broken clouds,20.0333,-96.6333,El Polo Norte
620,El Salto,MX,77.65,overcast clouds,20.3333,-104.5,ramirez
621,Canto Do Buriti,BR,83.68,overcast clouds,-8.11,-42.9444,Novo Hotel
627,Lahij,YE,77.5,clear sky,13.1667,44.5833,
628,Pekalongan,ID,81.01,scattered clouds,-6.8886,109.6753,Namira Syariah Hotel
630,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
631,Catalina,US,86.11,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
640,Blythe,US,88.03,broken clouds,33.6103,-114.5964,Rodeway Inn & Suites
643,San Ignacio,BZ,85.3,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
646,Lamar,US,84.24,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
652,Suluq,LY,77.59,overcast clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
654,Bontang,ID,76.51,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
655,Cacoal,BR,75.69,heavy intensity rain,-11.4386,-61.4472,Hotel BR 364
656,Manaure,CO,88.03,scattered clouds,11.7751,-72.4445,Hotel Palaaima
669,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
670,Wawa,NG,79.25,scattered clouds,9.9022,4.4192,
672,Rosa Zarate,EC,78.58,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
674,Itaituba,BR,82.71,broken clouds,-4.2761,-55.9836,Hotel Campos
678,Am Timan,TD,80.67,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
680,Lubao,PH,77.14,overcast clouds,14.9167,120.55,Hacienda Gracia
684,Altamira,BR,80.01,broken clouds,-3.2033,-52.2064,Requinte Hotel
686,Khao Yoi,TH,75.9,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
687,Hilton Head Island,US,77.11,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
690,San Angelo,US,92.1,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
692,Tiarei,PF,77.02,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
694,Sabha,LY,78.75,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
695,Mahibadhoo,MV,82.6,scattered clouds,3.7833,72.9667,Omadhoo Inn
696,Stephenville,US,89.69,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
